Fecha,Equipo Local,Marcador,Equipo Visitante,Tarjeta Roja Local,Tarjeta Roja Visitante
17-02-2024,Envigado,1 - 1,América de Cali,0,0
21-02-2024,América de Cali,0 - 1,La Equidad,2,0
24-02-2024,Jaguares de Córdoba,1 - 1,América de Cali,0,0
01-03-2024,Deportivo Pereira,2 - 0,América de Cali,0,0
08-03-2024,América de Cali,2 - 0,Alianza Petrolera,0,0
16-03-2024,Fortaleza CEIF,0 - 0,América de Cali,0,0
23-03-2024,América de Cali,3 - 2,Boyacá Chicó,0,0
30-03-2024,Independiente Medellín,1 - 4,América de Cali,0,0
06-04-2024,América de Cali,4 - 1,Junior,0,0
12-04-2024,Deportivo Cali,1 - 1,América de Cali,0,0
18-04-2024,América de Cali,0 - 0,Deportivo Pasto,0,0
20-04-2024,Santa Fe,1 - 0,América de Cali,0,0
27-04-2024,Once Caldas,0 - 0,América de Cali,0,0
15-07-2024,Rionegro Águilas,1 - 2,América de Cali,0,0
20-07-2024,Atlético Nacional,2 - 1,América de Cali,0,0
24-07-2024,América de Cali,4 - 0,Envigado,0,0
03-08-2024,Patriotas Boyacá,1 - 1,América de Cali,0,0
17-08-2024,Atlético Bucaramanga,1 - 2,América de Cali,0,0
06-09-2024,América de Cali,1 - 0,Jaguares de Córdoba,0,0
10-09-2024,América de Cali,1 - 0,Deportes Tolima,0,0
14-09-2024,América de Cali,1 - 0,Deportivo Pereira,0,0
21-09-2024,Alianza Petrolera,0 - 1,América de Cali,0,0
27-09-2024,América de Cali,1 - 1,Fortaleza CEIF,0,0
04-10-2024,Boyacá Chicó,0 - 2,América de Cali,0,0
11-10-2024,América de Cali,2 - 1,Millonarios,0,0
13-10-2024,América de Cali,1 - 0,Independiente Medellín,0,0
26-10-2024,Junior,3 - 1,América de Cali,0,0
06-11-2024,Deportivo Pasto,3 - 1,América de Cali,0,0
11-11-2024,América de Cali,0 - 0,Santa Fe,0,0
14-11-2024,América de Cali,3 - 0,Once Caldas,0,0
21-11-2024,Junior FC,1 - 0,América de Cali,0,0
23-11-2024,América de Cali,1 - 1,Once Caldas,0,0
26-11-2024,Deportes Tolima,1 - 0,América de Cali,0,0
30-11-2024,América de Cali,4 - 2,Deportes Tolima,0,0
03-12-2024,Once Caldas,3 - 0,América de Cali,0,0
07-12-2024,América de Cali,1 - 0,Junior FC,0,0
20-01-2024,Junior,2 - 0,Atlético Bucaramanga,0,0
28-01-2024,Atlético Bucaramanga,0 - 0,Millonarios,0,0
01-02-2024,Jaguares de Córdoba,0 - 1,Atlético Bucaramanga,0,0
06-02-2024,Santa Fe,0 - 1,Atlético Bucaramanga,0,0
09-02-2024,Atlético Bucaramanga,1 - 1,Once Caldas,0,0
15-02-2024,América de Cali,0 - 0,Atlético Bucaramanga,0,0
19-02-2024,Atlético Bucaramanga,1 - 0,Deportivo Pasto,0,0
21-02-2024,Deportes Tolima,0 - 0,Atlético Bucaramanga,0,0
02-03-2024,Atlético Bucaramanga,3 - 0,Patriotas Boyacá,0,0
09-03-2024,Atlético Nacional,0 - 0,Atlético Bucaramanga,0,0
15-03-2024,Atlético Bucaramanga,4 - 0,La Equidad,0,0
23-03-2024,Atlético Bucaramanga,3 - 1,Envigado,0,0
26-03-2024,Atlético Bucaramanga,1 - 0,Rionegro Águilas,0,0
