Fecha,Local,Visitante,Marcador,Goles Local,Goles Visitante,Tarjetas Rojas Local,Tarjetas Rojas Visitante,Resultado Local,Resultado Visitante
25-04-2023,Deportes Tolima,Jaguares,1 - 1,1,1,0,0,Empate,Empate
28-04-2023,Santa Fe,Deportes Tolima,2 - 0,2,0,0,0,Victoria,Derrota
05-05-2023,Deportes Tolima,Alianza Petrolera,2 - 1,2,1,0,0,Victoria,Derrota
12-05-2023,Union Magdalena,Deportes Tolima,1 - 1,1,1,0,0,Empate,Empate
17-05-2023,Deportes Tolima,Atletico Nacional,2 - 2,2,2,0,0,Empate,Empate
15-07-2023,America de Cali,Deportes Tolima,1 - 0,1,0,0,0,Victoria,Derrota
20-07-2023,Deportes Tolima,Once Caldas,3 - 1,3,1,0,0,Victoria,Derrota
28-07-2023,Deportes Tolima,Rionegro Aguilas,1 - 1,1,1,0,0,Empate,Empate
07-08-2023,Millonarios,Deportes Tolima,1 - 0,1,0,0,0,Victoria,Derrota
11-08-2023,Deportes Tolima,Huila,1 - 0,1,0,0,0,Victoria,Derrota
26-08-2023,La Equidad,Deportes Tolima,0 - 0,0,0,0,0,Empate,Empate
01-09-2023,Deportes Tolima,Bucaramanga,0 - 0,0,0,0,0,Empate,Empate
05-09-2023,Deportes Tolima,Deportivo Pereira,2 - 3,2,3,0,0,Derrota,Victoria
10-09-2023,Huila,Deportes Tolima,3 - 0,3,0,0,0,Victoria,Derrota
13-09-2023,Deportes Tolima,Independiente Medellin,1 - 1,1,1,0,0,Empate,Empate
17-09-2023,Deportivo Pasto,Deportes Tolima,1 - 2,1,2,0,0,Derrota,Victoria
20-09-2023,Deportes Tolima,Envigado,2 - 0,2,0,0,0,Victoria,Derrota
24-09-2023,Junior,Deportes Tolima,0 - 1,0,1,0,0,Derrota,Victoria
29-09-2023,Deportes Tolima,Chico,2 - 0,2,0,0,0,Victoria,Derrota
05-10-2023,Jaguares,Deportes Tolima,0 - 1,0,1,0,0,Derrota,Victoria
10-10-2023,Deportivo Cali,Deportes Tolima,2 - 0,2,0,0,0,Victoria,Derrota
15-10-2023,Deportes Tolima,Santa Fe,1 - 0,1,0,0,0,Victoria,Derrota
22-10-2023,Alianza Petrolera,Deportes Tolima,0 - 1,0,1,0,0,Derrota,Victoria
27-10-2023,Deportes Tolima,Union Magdalena,2 - 1,2,1,0,0,Victoria,Derrota
08-11-2023,Atletico Nacional,Deportes Tolima,2 - 3,2,3,0,0,Derrota,Victoria
13-11-2023,Deportes Tolima,Junior,3 - 1,3,1,0,0,Victoria,Derrota
17-11-2023,Rionegro Aguilas,Deportes Tolima,0 - 4,0,4,0,0,Derrota,Victoria
24-11-2023,Deportes Tolima,Deportivo Cali,4 - 2,4,2,0,0,Victoria,Derrota
29-11-2023,Deportivo Cali,Deportes Tolima,0 - 2,0,2,0,0,Derrota,Victoria
01-12-2023,Deportes Tolima,Rionegro Aguilas,0 - 1,0,1,0,0,Derrota,Victoria
06-12-2023,Junior,Deportes Tolima,4 - 2,4,2,0,0,Victoria,Derrota
04-02-2023,Deportivo Cali,Once Caldas,0 - 0,0,0,0,0,Empate,Empate
12-02-2023,Atletico Nacional,Deportivo Cali,1 - 1,1,1,0,0,Empate,Empate
20-02-2023,Deportivo Cali,Rionegro Aguilas,1 - 1,1,1,0,0,Empate,Empate
26-02-2023,Deportes Tolima,Deportivo Cali,1 - 2,1,2,0,0,Derrota,Victoria
28-02-2023,Deportivo Cali,Deportivo Pereira,0 - 1,0,1,0,0,Derrota,Victoria
04-03-2023,Millonarios,Deportivo Cali,2 - 0,2,0,0,0,Victoria,Derrota
10-03-2023,Deportivo Cali,Bucaramanga,1 - 1,1,1,0,0,Empate,Empate
18-03-2023,Deportivo Pasto,Deportivo Cali,2 - 1,2,1,0,0,Victoria,Derrota
21-03-2023,Santa Fe,Deportivo Cali,3 - 0,3,0,0,0,Victoria,Derrota
26-03-2023,Deportivo Cali,America de Cali,1 - 1,1,1,0,0,Empate,Empate
02-04-2023,Huila,Deportivo Cali,1 - 0,1,0,0,0,Victoria,Derrota
08-04-2023,Deportivo Cali,La Equidad,0 - 0,0,0,0,0,Empate,Empate
12-04-2023,Independiente Medellin,Deportivo Cali,3 - 0,3,0,0,0,Victoria,Derrota
14-04-2023,Deportivo Cali,Union Magdalena,2 - 1,2,1,0,0,Victoria,Derrota
21-04-2023,Alianza Petrolera,Deportivo Cali,0 - 3,0,3,0,0,Derrota,Victoria
27-04-2023,Deportivo Cali,Junior,3 - 2,3,2,0,0,Victoria,Derrota
30-04-2023,America de Cali,Deportivo Cali,5 - 2,5,2,0,0,Victoria,Derrota
07-05-2023,Deportivo Cali,Envigado,2 - 0,2,0,0,0,Victoria,Derrota
11-05-2023,Jaguares,Deportivo Cali,1 - 1,1,1,0,0,Empate,Empate
17-05-2023,Deportivo Cali,Chico,0 - 0,0,0,0,0,Empate,Empate
17-07-2023,Deportivo Pereira,Deportivo Cali,0 - 2,0,2,0,0,Derrota,Victoria
29-07-2023,Once Caldas,Deportivo Cali,4 - 0,4,0,0,0,Victoria,Derrota
05-08-2023,Deportivo Cali,Atletico Nacional,1 - 1,1,1,0,0,Empate,Empate
11-08-2023,Rionegro Aguilas,Deportivo Cali,1 - 0,1,0,0,0,Victoria,Derrota
24-08-2023,Deportivo Cali,Millonarios,0 - 0,0,0,0,0,Empate,Empate
28-08-2023,Bucaramanga,Deportivo Cali,1 - 0,1,0,0,0,Victoria,Derrota
03-09-2023,Deportivo Cali,Deportivo Pasto,4 - 0,4,0,0,0,Victoria,Derrota
06-09-2023,Deportivo Cali,Santa Fe,2 - 2,2,2,0,0,Empate,Empate
09-09-2023,America de Cali,Deportivo Cali,3 - 0,3,0,0,0,Victoria,Derrota
13-09-2023,Deportivo Cali,Huila,1 - 0,1,0,0,0,Victoria,Derrota
19-09-2023,La Equidad,Deportivo Cali,1 - 1,1,1,0,0,Empate,Empate
22-09-2023,Deportivo Cali,Independiente Medellin,2 - 2,2,2,0,0,Empate,Empate
25-09-2023,Union Magdalena,Deportivo Cali,3 - 4,3,4,0,0,Derrota,Victoria
01-10-2023,Deportivo Cali,Alianza Petrolera,1 - 0,1,0,0,0,Victoria,Derrota
06-10-2023,Junior,Deportivo Cali,3 - 2,3,2,0,0,Victoria,Derrota
10-10-2023,Deportivo Cali,Deportes Tolima,2 - 0,2,0,0,0,Victoria,Derrota
14-10-2023,Deportivo Cali,America de Cali,0 - 0,0,0,0,0,Empate,Empate
19-10-2023,Envigado,Deportivo Cali,3 - 0,3,0,0,0,Victoria,Derrota
24-10-2023,Deportivo Cali,Jaguares,2 - 0,2,0,0,0,Victoria,Derrota
07-11-2023,Chico,Deportivo Cali,1 - 1,1,1,0,0,Empate,Empate
12-11-2023,Deportivo Cali,Rionegro Aguilas,1 - 1,1,1,0,0,Empate,Empate
18-11-2023,Junior,Deportivo Cali,3 - 0,3,0,0,0,Victoria,Derrota
24-11-2023,Deportes Tolima,Deportivo Cali,4 - 2,4,2,0,0,Victoria,Derrota
29-11-2023,Deportivo Cali,Deportes Tolima,0 - 2,0,2,0,0,Derrota,Victoria
02-12-2023,Deportivo Cali,Junior,0 - 2,0,2,0,0,Derrota,Victoria
05-12-2023,Rionegro Aguilas,Deportivo Cali,3 - 1,3,1,0,0,Victoria,Derrota
04-02-2023,Deportivo Pasto,America de Cali,2 - 4,2,4,0,0,Derrota,Victoria
14-02-2023,Santa Fe,Deportivo Pasto,0 - 2,0,2,0,0,Derrota,Victoria
18-02-2023,Deportivo Pasto,Junior,1 - 0,1,0,0,0,Victoria,Derrota
26-02-2023,Chico,Deportivo Pasto,1 - 1,1,1,0,0,Empate,Empate
04-03-2023,Deportivo Pasto,Atletico Nacional,0 - 1,0,1,0,0,Derrota,Victoria
09-03-2023,Alianza Petrolera,Deportivo Pasto,3 - 1,3,1,0,0,Victoria,Derrota
13-03-2023,Once Caldas,Deportivo Pasto,0 - 1,0,1,0,0,Derrota,Victoria
18-03-2023,Deportivo Pasto,Deportivo Cali,2 - 1,2,1,0,0,Victoria,Derrota
22-03-2023,Millonarios,Deportivo Pasto,2 - 0,2,0,0,0,Victoria,Derrota
27-03-2023,Jaguares,Deportivo Pasto,0 - 1,0,1,0,0,Derrota,Victoria
30-03-2023,Deportivo Pasto,Deportivo Pereira,0 - 0,0,0,0,0,Empate,Empate
10-04-2023,Deportes Tolima,Deportivo Pasto,3 - 1,3,1,0,0,Victoria,Derrota
12-04-2023,Deportivo Pasto,Bucaramanga,1 - 0,1,0,0,0,Victoria,Derrota
17-04-2023,Huila,Deportivo Pasto,1 - 1,1,1,0,0,Empate,Empate
21-04-2023,Deportivo Pasto,Rionegro Aguilas,0 - 0,0,0,0,0,Empate,Empate
25-04-2023,Deportivo Pasto,La Equidad,1 - 1,1,1,0,0,Empate,Empate
28-04-2023,Union Magdalena,Deportivo Pasto,2 - 1,2,1,0,0,Victoria,Derrota
07-05-2023,Deportivo Pasto,Jaguares,4 - 0,4,0,0,0,Victoria,Derrota
13-05-2023,Independiente Medellin,Deportivo Pasto,1 - 0,1,0,0,0,Victoria,Derrota
17-05-2023,Deportivo Pasto,Envigado,2 - 1,2,1,0,0,Victoria,Derrota
19-05-2023,Deportivo Pasto,Atletico Nacional,1 - 1,1,1,0,0,Empate,Empate
27-05-2023,Rionegro Aguilas,Deportivo Pasto,0 - 0,0,0,0,0,Empate,Empate
31-05-2023,Deportivo Pasto,Alianza Petrolera,0 - 0,0,0,0,0,Empate,Empate
04-06-2023,Alianza Petrolera,Deportivo Pasto,1 - 0,1,0,0,0,Victoria,Derrota
10-06-2023,Deportivo Pasto,Rionegro Aguilas,3 - 0,3,0,0,0,Victoria,Derrota
17-06-2023,Atletico Nacional,Deportivo Pasto,3 - 2,3,2,0,0,Victoria,Derrota
15-07-2023,Deportivo Pasto,Millonarios,0 - 0,0,0,0,0,Empate,Empate
21-07-2023,Deportivo Pasto,Alianza Petrolera,1 - 1,1,1,0,0,Empate,Empate
29-07-2023,America de Cali,Deportivo Pasto,1 - 1,1,1,0,0,Empate,Empate
06-08-2023,Deportivo Pasto,Santa Fe,2 - 0,2,0,0,0,Victoria,Derrota
12-08-2023,Junior,Deportivo Pasto,0 - 0,0,0,0,0,Empate,Empate
19-08-2023,Deportivo Pasto,Chico,1 - 1,1,1,0,0,Empate,Empate
24-08-2023,Atletico Nacional,Deportivo Pasto,2 - 0,2,0,0,0,Victoria,Derrota
29-08-2023,Deportivo Pasto,Once Caldas,1 - 0,1,0,0,0,Victoria,Derrota
03-09-2023,Deportivo Cali,Deportivo Pasto,4 - 0,4,0,0,0,Victoria,Derrota
08-09-2023,Deportivo Pasto,Jaguares,1 - 0,1,0,0,0,Victoria,Derrota
12-09-2023,Deportivo Pereira,Deportivo Pasto,2 - 1,2,1,0,0,Victoria,Derrota
17-09-2023,Deportivo Pasto,Deportes Tolima,1 - 2,1,2,0,0,Derrota,Victoria
20-09-2023,Bucaramanga,Deportivo Pasto,0 - 2,0,2,0,0,Derrota,Victoria
26-09-2023,Deportivo Pasto,Huila,1 - 0,1,0,0,0,Victoria,Derrota
30-09-2023,Rionegro Aguilas,Deportivo Pasto,3 - 0,3,0,0,0,Victoria,Derrota
07-10-2023,La Equidad,Deportivo Pasto,1 - 0,1,0,0,0,Victoria,Derrota
12-10-2023,Deportivo Pasto,Union Magdalena,3 - 1,3,1,0,0,Victoria,Derrota
19-10-2023,Jaguares,Deportivo Pasto,1 - 0,1,0,0,0,Victoria,Derrota
25-10-2023,Deportivo Pasto,Independiente Medellin,0 - 0,0,0,0,0,Empate,Empate
