id_propiedad,zona,piso,estrato,precio_millones,area_construida,parqueaderos,banios,habitaciones,tipo_vivienda,barrio,longitud,latitud,id_comentarios
4063,zona sur,3,3,180.0,61.0,1,3,3,apartamento,la selva,-7652956.0,340.813,29
4064,zona sur,8,4,200.0,75.0,1,2,3,apartamento,el limonar,-7652956.0,340.067,21
4065,zona sur,6,5,300.0,90.0,1,3,4,apartamento,ingenio ii,-7652956.0,338.105,17
4066,zona sur,2,4,155.0,60.0,1,2,2,apartamento,la hacienda,-7652956.0,339.536,10
4067,zona sur,2,4,330.0,180.0,1,3,5,casa,colseguros,-7652956.0,343.242,7
4068,zona sur,4,5,340.0,104.0,2,3,3,apartamento,el ingenio,-7652956.0,338.354,32
4069,zona sur,5,4,120.0,66.0,1,1,3,apartamento,colseguros,-7652958.0,342.454,9
4070,zona sur,2,3,104.0,60.0,1,2,3,apartamento,nápoles,-7652959.0,339.289,25
4071,zona sur,5,4,220.0,95.0,1,3,4,apartamento,capri,-7652959.0,339.289,20
4072,zona sur,5,4,110.0,63.0,1,1,3,apartamento,el limonar,-765296.0,339.913,6
4073,zona sur,4,5,390.0,95.0,2,3,3,casa,la hacienda,-7652961.0,339.311,5
4074,zona sur,4,5,290.0,115.0,2,3,4,apartamento,el ingenio,-7652961.0,338.226,20
4075,zona sur,3,6,1250.0,750.0,1,6,7,casa,el ingenio,-7652962.0,33.835,25
4076,zona sur,4,5,550.0,244.0,2,5,4,casa,el limonar,-7652964.0,340.172,4
4077,zona sur,2,4,380.0,300.0,2,3,3,casa,el limonar,-7652964.0,340.172,4
4078,zona sur,2,5,690.0,444.0,1,9,9,casa,el limonar,-7652964.0,340.172,18
4079,zona sur,4,5,480.0,160.0,3,4,4,casa,el limonar,-7652964.0,340.172,30
4080,zona sur,4,5,470.0,350.0,6,4,4,casa,el limonar,-7652964.0,340.172,23
4081,zona sur,4,5,580.0,550.0,6,6,7,casa,el limonar,-7652964.0,340.172,11
4082,zona sur,2,5,600.0,129.0,1,3,3,apartamento,pance,-7652965.0,335.908,1
