piso,piso,piso,estrato,preciom,areaconst,parquea,banios,habitac,tipo,barrio,longitud,latitud,Id Comentarios
7918,Zona Oeste,2,5,600,142,2,4,3,Apartamento,santa teresita,-76553,3449,31
7919,Zona Oeste,3,6,980,276,2,3,3,Apartamento,santa teresita,-76553,3449,16
7920,Zona Oeste,3,6,490,227,2,3,3,Apartamento,santa rita,-76553,3452,19
7921,Zona Oeste,NA,6,1400,296,2,4,4,Apartamento,santa rita,-76553,3451,4
7922,Zona Oeste,3,5,279,102,2,3,3,Apartamento,santa rita,-76553,3452,2
7923,Zona Oeste,3,6,1300,334,6,5,3,Apartamento,santa rita,-76553,3451,3
7924,Zona Sur,NA,4,220,78,1,2,3,Apartamento,el refugio,-76553,3398,2
7925,Zona Sur,3,4,220,113,1,2,3,Apartamento,el refugio,-76553,3398,21
7926,Zona Sur,5,3,105,59,1,2,2,Apartamento,mel√©ndez,-76553,3415,14
7927,Zona Oeste,NA,5,480,184,2,4,4,Apartamento,los cristales,-76553,343.091,14
7928,Zona Oeste,3,6,520,123,2,5,3,Apartamento,los cristales,-76553,343.091,23
7929,Zona Oeste,2,6,510,126,2,3,3,Apartamento,los cristales,-76553,343.091,6
7930,Zona Oeste,10,6,494,125,2,3,2,Apartamento,los cristales club,-76553,3431,30
7931,Zona Oeste,1,6,580,153,2,5,3,Apartamento,cristales,-76553,3429,21
7932,Zona Oeste,3,6,575,143,2,5,3,Apartamento,cristales,-76553,3.43,3
7933,Zona Oeste,NA,5,385,123,1,4,3,Apartamento,cristales,-76553,3.43,12
7934,Zona Oeste,3,6,620,143,2,4,3,Apartamento,cristales,-76553,3431,3
7935,Zona Oeste,NA,6,530,123,1,3,3,Apartamento,cristales,-76553,3.43,14
7936,Zona Oeste,4,5,470,89,2,3,2,Apartamento,cristales,-76553,3431,24
7937,Zona Oeste,2,6,310,84,2,2,2,Apartamento,cristales,-76553,3432,1
7938,Zona Oeste,10,6,850,168,2,4,3,Apartamento,cristales,-76553,3.43,33
7939,Zona Oeste,NA,6,887,184,2,4,3,Apartamento,cristales,-76553,3436,32
7940,Zona Oeste,NA,6,1150,225,2,4,3,Apartamento,cristales,-76553,3436,4
7941,Zona Sur,NA,5,350,90,1,2,3,Apartamento,cerro cristales,-76553,3.43,26
7942,Zona Sur,1,4,175,75,1,2,3,Apartamento,caldas,-76553,3393,16
7943,Zona Oeste,NA,5,380,110,2,2,3,Apartamento,bellavista,-76553,3443,29
7944,Zona Oeste,NA,5,300,107,2,2,2,Apartamento,bellavista,-76553,3442,30
7945,Zona Oeste,2,6,1700,340,4,4,3,Apartamento,la arboleda,-76553,3451,11
7946,Zona Sur,10,3,230,63,1,2,2,Apartamento,alto jordán,-76553,3372,17
7947,Zona Oeste,NA,3,135,60,1,2,3,Apartamento,aguacatal,-76553,3.45,2
7948,Zona Oeste,NA,6,610,148,2,3,3,Apartamento,aguacatal,-76553,3431,25
7949,Zona Oeste,NA,6,850,196,2,4,3,Apartamento,aguacatal,-76553,3459,2
7773,Zona Oeste,NA,6,870,270,2,4,3,Casa,santa teresita,-76552,3449,16
7774,Zona Sur,NA,4,750,792,4,7,5,Casa,santa isabel,-76552,3426,30
7775,Zona Sur,3,5,390,187,3,4,4,Casa,el refugio,-76552,3398,16
7776,Zona Sur,3,4,320,220,2,3,4,Casa,el refugio,-76552,3397,33
7777,Zona Sur,3,5,390,188,3,4,4,Casa,el refugio,-76552,3398,30
7778,Zona Sur,3,4,400,130,2,3,3,Casa,el refugio,-76552,3398,28
7779,Zona Sur,3,4,245,150,1,3,4,Casa,el refugio,-76552,3399,25
7780,Zona Sur,2,5,425,220,2,3,3,Casa,cuarto de legua,-76552,3.41,5
7781,Zona Oeste,2,6,650,233,1,4,3,Casa,bellavista,-76552,3441,15
7782,Zona Oeste,NA,6,920,284,4,4,3,Casa,aguacatal,-76552,3457,14
7783,Zona Oeste,NA,6,850,214,2,4,4,Apartamento,santa teresita,-76552,3.45,13
7784,Zona Oeste,3,6,580,143,2,4,4,Apartamento,santa teresita,-76552,3448,18
7785,Zona Oeste,8,6,1800,450,4,5,4,Apartamento,santa teresita,-76552,3448,32
7786,Zona Oeste,NA,6,750,180,2,5,3,Apartamento,santa teresita,-76552,3447,9
7787,Zona Oeste,NA,6,720,164,2,5,3,Apartamento,santa teresita,-76552,3447,23
7788,Zona Oeste,6,6,1150,256,3,4,3,Apartamento,santa teresita,-76552,3451,22
7789,Zona Sur,NA,4,360,175,2,4,4,Apartamento,refugio,-76552,3396,7
7790,Zona Sur,5,5,260,128,1,4,4,Apartamento,pampalinda,-76552,3408,15
7791,Zona Oeste,7,5,640,166,2,2,3,Apartamento,normandía,-76552,3455,25
7792,Zona Oeste,2,6,1100,187,2,4,3,Apartamento,normandía,-76552,3452,8
7793,Zona Oeste,11,6,1400,230,3,4,3,Apartamento,normandía,-76552,3458,27
7794,Zona Oeste,NA,6,1200,238,4,3,3,Apartamento,normandía,-76552,3426,1
7795,Zona Oeste,NA,6,990,202,2,4,3,Apartamento,normandía,-76552,3459,29
7796,Zona Sur,NA,3,97,60,1,2,3,Apartamento,napoles,-76552,3389,26
7797,Zona Oriente,NA,3,120,58,NA,1,3,Apartamento,mel√©ndez,-76552,3372,2
7798,Zona Oeste,8,6,470,125,2,4,4,Apartamento,los cristales,-76552,343.113,19
7799,Zona Oeste,1,6,710,136,2,5,3,Apartamento,los cristales,-76552,3431,2
7800,Zona Sur,NA,4,252,95,2,2,4,Apartamento,el lido,-76552,3419,27
7801,Zona Sur,NA,4,220,83,1,2,3,Apartamento,el lido,-76552,3419,12
7802,Zona Sur,5,4,210,90,1,3,4,Apartamento,el lido,-76552,3419,7
7803,Zona Oeste,4,6,475,97,2,3,3,Apartamento,cristales,-76552,3426,19
7804,Zona Oeste,NA,6,700,160,2,4,3,Apartamento,cristales,-76552,3431,18
7805,Zona Oeste,9,5,430,104,2,2,3,Apartamento,cristales,-76552,3425,18
7806,Zona Oeste,4,4,430,124,2,3,3,Apartamento,cristales,-76552,3431,29
7807,Zona Oeste,4,6,385,103,2,2,3,Apartamento,cristales,-76552,3433,9
7808,Zona Oeste,7,5,430,104,2,4,2,Apartamento,cristales,-76552,3427,29
7809,Zona Oeste,NA,5,389,108,1,4,3,Apartamento,cristales,-76552,3431,29
7810,Zona Sur,NA,3,155,150,NA,2,6,Apartamento,colinas del sur,-76552,3389,15
7811,Zona Oeste,8,5,750,220,NA,4,3,Apartamento,bellavista,-76552,3445,21
7812,Zona Oeste,NA,6,500,125,2,3,3,Apartamento,altos de santa,-76552,3431,22
7813,Zona Oeste,11,6,980,195,2,4,5,Apartamento,aguacatal,-76552,3457,34
7814,Zona Oeste,NA,6,1050,240,3,4,3,Apartamento,aguacatal,-76552,3457,3
7815,Zona Norte,NA,6,490,227,NA,3,4,Apartamento,acopi,-76552,345.147,10
7635,Zona Sur,NA,5,230,120,NA,1,2,Casa,san fernando,-76551,3431,15
7636,Zona Sur,NA,4,390,120,3,4,4,Casa,el refugio,-76551,3396,3
7637,Zona Sur,NA,4,250,140,2,3,4,Casa,el refugio,-76551,3.4,13
7638,Zona Sur,NA,5,420,211,NA,5,4,Casa,pampalinda,-76551,3407,1
7639,Zona Sur,NA,4,538,400,2,4,8,Casa,el lido,-76551,3418,18
7640,Zona Sur,NA,5,600,403,2,7,5,Casa,cuarto de legua,-76551,3409,26
7641,Zona Sur,NA,5,450,220,2,4,3,Casa,cuarto de legua,-76551,3409,18
7642,Zona Sur,2,5,520,310,2,4,3,Casa,cuarto de legua,-76551,3409,29
7643,Zona Sur,6,5,240,79,1,2,2,Apartamento,sector cañaveralejo guadalupe,-76551,3.41,6
7644,Zona Oeste,8,6,950,262,2,3,3,Apartamento,santa teresita,-76551,3442,3
7645,Zona Oeste,3,6,1300,228,3,5,3,Apartamento,santa teresita,-76551,3449,33
7646,Zona Oeste,5,6,1584,257,3,4,3,Apartamento,santa rita,-76551,3453,34
7647,Zona Sur,NA,4,123,63,1,1,2,Apartamento,el refugio,-76551,3399,13
7648,Zona Sur,NA,5,490,237,2,4,4,Apartamento,el refugio,-76551,3399,25
7649,Zona Sur,4,4,210,69,2,2,3,Apartamento,el refugio,-76551,3396,13
